
  1. setup                                          : etime=00:00:02.8    ctime=00:00:03.6    rss=150.473 Mbyte     virtual=143.914 Mbyte     
     1. loading mesh                                : etime=00:00:01.7    ctime=00:00:01.6    rss=147.488 Mbyte     virtual=143.348 Mbyte     
     2. setup of local problems for iwp             : etime=00:00:00.0    ctime=00:00:00.0    rss=147.488 Mbyte     virtual=143.348 Mbyte     
     3. loading circuit components                  : etime=00:00:00.0    ctime=00:00:00.1    rss=147.488 Mbyte     virtual=143.348 Mbyte     
        1. reading current sources from calcbridge  : etime=00:00:00.0    ctime=00:00:00.0    rss=147.488 Mbyte     virtual=143.348 Mbyte     
        2. building current sources for waveguide ports: etime=00:00:00.0    ctime=00:00:00.0    rss=147.488 Mbyte     virtual=143.348 Mbyte     
        3. connectivity check                       : etime=00:00:00.0    ctime=00:00:00.1    rss=147.488 Mbyte     virtual=143.348 Mbyte     
           1. legacy FindImpedanceLinePaths [TO BE OBSOLETED]: etime=00:00:00.0    ctime=00:00:00.1    rss=147.488 Mbyte     virtual=143.348 Mbyte     
              1. setInductance                      : etime=00:00:00.0    ctime=00:00:00.0    rss=147.488 Mbyte     virtual=143.348 Mbyte     
     4. assigning unknowns                          : etime=00:00:00.6    ctime=00:00:01.4    rss=147.488 Mbyte     virtual=143.348 Mbyte     
        1. LFenhance                                : etime=00:00:00.4    ctime=00:00:00.9    rss=147.488 Mbyte     virtual=143.348 Mbyte     
     5. setup circuit components                    : etime=00:00:00.4    ctime=00:00:00.4    rss=150.129 Mbyte     virtual=143.695 Mbyte     
        1. line paths + line integrals              : etime=00:00:00.4    ctime=00:00:00.4    rss=150.125 Mbyte     virtual=143.695 Mbyte     
           1. node2cell connectivity                : etime=00:00:00.1    ctime=00:00:00.1    rss=147.488 Mbyte     virtual=143.348 Mbyte     
           2. edge2cell connectivity                : etime=00:00:00.2    ctime=00:00:00.2    rss=150.027 Mbyte     virtual=143.695 Mbyte     
        2. iwp                                      : etime=00:00:00.0    ctime=00:00:00.0    rss=150.129 Mbyte     virtual=143.695 Mbyte     

  2. symbolic matrix setup                          : etime=00:00:00.5    ctime=00:00:00.8    rss=213.336 Mbyte     virtual=206.270 Mbyte     

  3. iwp                                            : etime=00:00:00.0    ctime=00:00:00.0    rss=213.336 Mbyte     virtual=206.270 Mbyte     

  4. Frequency 1 kHz                                : etime=00:00:05.0    ctime=00:00:12.3    rss=714.023 Mbyte     virtual=733.613 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=213.336 Mbyte     virtual=206.270 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=213.336 Mbyte     virtual=206.270 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=213.336 Mbyte     virtual=206.270 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=213.336 Mbyte     virtual=206.270 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=213.336 Mbyte     virtual=206.270 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=213.336 Mbyte     virtual=206.270 Mbyte     
     4. solving linear system                       : etime=00:00:02.9    ctime=00:00:09.6    rss=690.305 Mbyte     virtual=704.828 Mbyte     
