
  1. setup                                          : etime=00:00:02.8    ctime=00:00:03.6    rss=151.527 Mbyte     virtual=144.828 Mbyte     
     1. loading mesh                                : etime=00:00:01.6    ctime=00:00:01.6    rss=146.270 Mbyte     virtual=142.238 Mbyte     
     2. setup of local problems for iwp             : etime=00:00:00.0    ctime=00:00:00.0    rss=146.270 Mbyte     virtual=142.238 Mbyte     
     3. loading circuit components                  : etime=00:00:00.0    ctime=00:00:00.1    rss=146.270 Mbyte     virtual=142.238 Mbyte     
        1. reading current sources from calcbridge  : etime=00:00:00.0    ctime=00:00:00.0    rss=146.270 Mbyte     virtual=142.238 Mbyte     
        2. building current sources for waveguide ports: etime=00:00:00.0    ctime=00:00:00.0    rss=146.270 Mbyte     virtual=142.238 Mbyte     
        3. connectivity check                       : etime=00:00:00.0    ctime=00:00:00.1    rss=146.270 Mbyte     virtual=142.238 Mbyte     
           1. legacy FindImpedanceLinePaths [TO BE OBSOLETED]: etime=00:00:00.0    ctime=00:00:00.1    rss=146.270 Mbyte     virtual=142.238 Mbyte     
              1. setInductance                      : etime=00:00:00.0    ctime=00:00:00.0    rss=146.270 Mbyte     virtual=142.238 Mbyte     
     4. assigning unknowns                          : etime=00:00:00.6    ctime=00:00:01.5    rss=146.270 Mbyte     virtual=142.238 Mbyte     
        1. LFenhance                                : etime=00:00:00.4    ctime=00:00:00.9    rss=146.270 Mbyte     virtual=142.238 Mbyte     
     5. setup circuit components                    : etime=00:00:00.4    ctime=00:00:00.4    rss=151.328 Mbyte     virtual=144.828 Mbyte     
        1. line paths + line integrals              : etime=00:00:00.4    ctime=00:00:00.4    rss=151.324 Mbyte     virtual=144.828 Mbyte     
           1. node2cell connectivity                : etime=00:00:00.1    ctime=00:00:00.1    rss=146.270 Mbyte     virtual=142.238 Mbyte     
           2. edge2cell connectivity                : etime=00:00:00.2    ctime=00:00:00.2    rss=151.160 Mbyte     virtual=144.730 Mbyte     
        2. iwp                                      : etime=00:00:00.0    ctime=00:00:00.0    rss=151.328 Mbyte     virtual=144.828 Mbyte     

  2. symbolic matrix setup                          : etime=00:00:00.5    ctime=00:00:00.7    rss=213.074 Mbyte     virtual=206.145 Mbyte     

  3. iwp                                            : etime=00:00:00.0    ctime=00:00:00.0    rss=213.074 Mbyte     virtual=206.145 Mbyte     

  4. Frequency 1 kHz                                : etime=00:00:05.0    ctime=00:00:12.1    rss=728.883 Mbyte     virtual=749.148 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=214.895 Mbyte     virtual=209.402 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=214.609 Mbyte     virtual=209.168 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.4    rss=214.895 Mbyte     virtual=209.402 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=214.895 Mbyte     virtual=209.402 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=214.898 Mbyte     virtual=209.402 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=214.906 Mbyte     virtual=209.402 Mbyte     
     4. solving linear system                       : etime=00:00:03.0    ctime=00:00:09.4    rss=704.680 Mbyte     virtual=719.020 Mbyte     
        1. setup solver                             : etime=00:00:02.7    ctime=00:00:08.3    rss=693.535 Mbyte     virtual=708.004 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.1    rss=704.656 Mbyte     virtual=719.020 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:01.0    rss=728.883 Mbyte     virtual=749.148 Mbyte     

  5. Frequency 2.15443 kHz                          : etime=00:00:03.6    ctime=00:00:08.4    rss=728.988 Mbyte     virtual=749.184 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=728.883 Mbyte     virtual=749.148 Mbyte     
        1. 1d                                       : etime=00:00:00.0    ctime=00:00:00.0    rss=728.883 Mbyte     virtual=749.148 Mbyte     
        2. 3d                                       : etime=00:00:01.4    ctime=00:00:01.3    rss=728.883 Mbyte     virtual=749.148 Mbyte     
        3. 2d                                       : etime=00:00:00.3    ctime=00:00:00.3    rss=728.883 Mbyte     virtual=749.148 Mbyte     
     2. constructing excitation                     : etime=00:00:00.0    ctime=00:00:00.0    rss=728.883 Mbyte     virtual=749.148 Mbyte     
     3. enter solve                                 : etime=00:00:00.0    ctime=00:00:00.0    rss=728.883 Mbyte     virtual=749.148 Mbyte     
     4. solving linear system                       : etime=00:00:01.6    ctime=00:00:05.9    rss=728.883 Mbyte     virtual=749.148 Mbyte     
        1. setup solver                             : etime=00:00:01.3    ctime=00:00:04.9    rss=728.883 Mbyte     virtual=749.148 Mbyte     
        2. solve                                    : etime=00:00:00.3    ctime=00:00:01.1    rss=728.883 Mbyte     virtual=749.148 Mbyte     
     5. writing fields                              : etime=00:00:00.3    ctime=00:00:00.8    rss=728.988 Mbyte     virtual=749.184 Mbyte     

  6. Frequency 4.64159 kHz                          : etime=00:00:03.5    ctime=00:00:07.9    rss=728.988 Mbyte     virtual=749.211 Mbyte     
     1. constructing matrix                         : etime=00:00:01.7    ctime=00:00:01.7    rss=728.988 Mbyte     virtual=749.184 Mbyte     
